"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2003,"Alojamento e Alimentação","Alimentação","Restaurantes",273,31,"594.47","1189548.51",2001,7,"56112","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
2003,"Atividades Administrativas","Agências de viagens","Agências de viagens",15,32,"634.66","21578.73",34,2,"79112","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de alimentos e pratos prontos",4,29,"833.1","19994.63",24,6,"10961","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Varejista","Varejo de mercadorias em geral",19,31,"536.27","70252.44",131,6,"47130","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de sorvetes",7,25,"478.47","6698.6",14,2,"10538","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Educação","Educação","Ensino de arte e cultura",14,30,"366.58","36658.62",100,7,"85929","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2003,"Outros Serviços","Reparação e Manutenção de Equipamentos","Manutenção de equipamentos de comunicação",4,31,"417.79","4595.75",11,2,"95126","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Atividades Administrativas","Serviços para Edifícios","Condomínios prediais",753,38,"629.32","1172427.23",1863,2,"81125","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Outros Serviços","Organizações Associativas","Associações de defesa de direitos sociais",25,36,"519.24","65944.07",127,5,"94308","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Educação","Educação","Ensino fundamental",6,34,"643.2","92621.99",144,24,"85139","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2003,"Atividades Administrativas","Serviços de Escritório","Outras atividades de serviços prestados às empresas",44,29,"595.12","330892.21",556,12,"82997","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Comércio","Comércio Varejista","Varejo de peças e acessórios para aparelhos eletroeletrônicos",206,27,"493.69","389033.1",788,3,"47571","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Produtos Químicos","Fabricação de cosméticos, perfumaria e higiene pessoal",2,33,"402.71","2818.97",7,3,"20631","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Varejista","Varejo de carnes e pescados",23,30,"523.53","55494.99",106,4,"47229","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Construção","Construção de Edifícios","Construção de edifícios",109,34,"547.57","590838.62",1079,9,"41204","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2003,"Indústrias de Transformação","Produtos de metal","Fabricação de artigos de metal para uso doméstico",4,31,"506.17","7086.42",14,3,"25934","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Informação e Comunicação","Prestação de Serviços de Informação","Outras atividades de prestação de serviços de informação",39,28,"562.23","111322.61",198,5,"63992","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2003,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de produtos de panificação",11,30,"407.12","29720.09",73,6,"10911","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Atividades Administrativas","Serviços para Edifícios","Limpeza em prédios e em domicílios",5,31,"426.28","6820.6",16,3,"81214","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Atividades Administrativas","Aluguéis não-imobiliários","Locação de automóveis",5,28,"598.63","25142.81",42,8,"77110","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Outros Serviços","Reparação e Manutenção de Equipamentos","Manutenção de objetos e equipamentos domésticos",9,28,"524.45","10489.11",20,2,"95291","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Saúde e serviços sociais","Saúde Humana","Serviços de remoção de pacientes",25,33,"684.14","54047.33",79,3,"86224","#800000","/static/img/icons/industry_section/industry_section_q.png"
2003,"Atividades Financeiras","Serviços Financeiros","Bancos múltiplos, com carteira comercial",6,34,"2800.83","319295.23",114,19,"64221","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2003,"Comércio","Comércio Atacadista","Atacado de produtos alimentícios",14,30,"530.54","59951.44",113,8,"46371","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Confecção e Vestuário","Confecção de peças do vestuário",42,30,"426.53","94263.25",221,5,"14126","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Varejista","Varejo de livros, jornais, revistas e papelaria",43,26,"439.37","61951.87",141,3,"47610","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Atacadista","Representantes comerciais de outros produtos",5,30,"573.6",2868,5,1,"46184","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Produtos de Madeira","Fabricação de estruturas de madeira",3,32,"528.76","14276.74",27,9,"16226","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Educação","Educação","Educação infantil - pré-escola",16,30,"406.01","65774.2",162,10,"85121","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2003,"Comércio","Comércio Varejista","Varejista de produtos de padaria, laticínio e doces",54,28,"411.87","144157.1",350,6,"47211","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Atacadista","Atacado de carnes e pescado",4,29,"494.83","10391.46",21,5,"46346","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Produtos eletrônicos","Fabricação de aparelhos telefônicos",1,28,"539.91","2699.58",5,5,"26329","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Móveis","Fabricação de móveis de madeira",16,31,"654.18","44484.49",68,4,"31012","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Varejista","Varejo de produtos alimentícios em geral",12,27,"489.17","70440.88",144,12,"47296","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Saúde e serviços sociais","Saúde Humana","Atendimento hospitalar",9,34,"581.89","204243.45",351,39,"86101","#800000","/static/img/icons/industry_section/industry_section_q.png"
2003,"Serviços Especializados","Atividades jurídicas, de contabilidade e de auditoria","Atividades jurídicas",15,30,"495.49","28243.4",57,3,"69117","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2003,"Agropecuária","Confidential","Atividades de apoio à agricultura",1,39,"291.66",1750,6,6,"01610","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2003,"Alojamento e Alimentação","Alojamento","Outros tipos de alojamento",13,33,"511.37","54205.83",106,8,"55906","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
2003,"Agropecuária","Confidential","Atividades de apoio à pecuária",1,54,300,600,2,2,"01628","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2003,"Transporte e correio","Transporte Terrestre","Transporte rodoviário de carga",20,31,"623.14","55459.99",89,4,"49302","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2003,"Indústrias de Transformação","Produtos de metal","Fabricação de outros produtos de metal",1,38,"597.16","1791.5",3,3,"25993","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Produtos de minerais não-metálicos","Fabricação de artefatos de concreto e materiais semelhantes",7,31,"512.81","21025.35",41,5,"23303","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Atacadista","Atacado de artigos do vestuário",18,30,"451.31","26627.78",59,3,"46427","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Produtos de borracha e de material plástico","Reforma de pneumáticos usados",1,32,"490.75",3926,8,8,"22129","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Produtos Diversos","Fabricação de artefatos para pesca",1,21,347,347,1,1,"32302","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Manutenção de máquinas e equipamentos","Manutenção de máquinas e equipamentos da indústria mecânica",3,30,"1096.45","49340.41",45,15,"33147","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Atividades Administrativas","Aluguéis não-imobiliários","Aluguel de outros objetos pessoais e domésticos",7,31,"694.55","43062.23",62,8,"77292","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Comércio","Comércio Varejista","Varejo de GLP",3,28,"708.85","10632.81",15,5,"47849","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Serviços Especializados","Arquitetura e Engenharia","Serviços de arquitetura",7,33,"563.21","20839.12",37,5,"71111","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2003,"Comércio","Comércio Atacadista","Representantes comerciais de têxteis, vestuário, calçados e artigos de viagem",2,34,"427.33",1282,3,1,"46168","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Confecção e Vestuário","Confecção de roupas profissionais",1,20,305,305,1,1,"14134","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Atividades Financeiras","Serviços Financeiros","Caixas econômicas",1,40,"3259.82","146692.06",45,45,"64239","#408e60","/static/img/icons/industry_section/industry_section_k.png"
