"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2003,"Comércio","Comércio de Veículos Automotores","Comércio de peças e acessórios para automóveis",14,30,"565.14","62166.19",110,7,"45307","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de móveis, colchoaria e artigos de iluminação",5,30,"1196.13","32295.6",27,5,"47547","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de artigos do vestuário",23,29,"527.07","25299.61",48,2,"47814","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de bebidas",1,29,525,3150,6,6,"47237","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Hipermercados e supermercados",11,27,"572.3","86417.63",151,13,"47113","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de tintas e materiais para pintura",38,32,"541.24","71985.19",133,3,"47415","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Construção","Serviços Especializados para Construção","Perfurações e sondagens",1,37,543,1629,3,3,"43126","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2003,"Indústrias Extrativas","Extração de minerais não-metálicos","Extração de pedra, areia e argila",5,36,"1068.61","75871.84",71,14,"08100","#330000","/static/img/icons/industry_section/industry_section_b.png"
2003,"Comércio","Comércio Varejista","Varejo de eletrodomésticos e equipamentos de áudio e vídeo",5,28,"790.66","13441.33",17,3,"47539","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio de Veículos Automotores","Varejo e atacado de automóveis",8,27,"722.19","31776.58",44,5,"45111","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Atacadista","Atacado de equipamentos e artigos de uso doméstico",9,31,"579.77","13914.54",24,2,"46494","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Atacadista","Atacado de bebidas",5,34,"508.65","6612.48",13,2,"46354","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Veículos Automotores","Fabricação de cabines, carrocerias e reboques",1,32,"673.31","14139.62",21,21,"29301","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Construção","Serviços Especializados para Construção","Obras de acabamento",7,33,"557.82","64149.73",115,16,"43304","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2003,"Agropecuária","Confidential","Cultivo de flores e plantas ornamentais",9,30,"354.32","17716.44",50,5,"01229","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2003,"Agropecuária","Confidential","Cultivo de frutas de lavoura permanente",2,33,"242.66","485.33",2,1,"01334","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2003,"Serviços Domésticos","Serviços domésticos","Serviços domésticos",3,39,"398.5",1594,4,1,"97005","#f7b6d2","/static/img/icons/industry_section/industry_section_t.png"
2003,"Saúde e serviços sociais","Saúde Humana","Atividades de outros profissionais da área de saúde",3,27,"499.04","3493.32",7,2,"86500","#800000","/static/img/icons/industry_section/industry_section_q.png"
2003,"Saúde e serviços sociais","Saúde Humana","Atenção ambulatorial",11,27,"427.4","6838.4",16,1,"86305","#800000","/static/img/icons/industry_section/industry_section_q.png"
2003,"Serviços Especializados","Atividades jurídicas, de contabilidade e de auditoria","Consultoria e auditoria contábil e tributária",4,28,"692.4","11078.54",16,4,"69206","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2003,"Agropecuária","Pesca e Aqüicultura","Aqüicultura em água salgada",2,41,"768.28","2304.86",3,1,"03213","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2003,"Construção","Serviços Especializados para Construção","Demolição e preparação de canteiros de obras",5,35,"541.04","47070.93",87,17,"43118","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2003,"Comércio","Comércio de Veículos Automotores","Manutenção de automóveis",14,28,"639.28","35799.71",56,4,"45200","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Educação","Educação","Ensino médio",3,34,"410.32","14361.28",35,11,"85201","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2003,"Indústrias de Transformação","Impressão e Reprodução de Gravações","Impressão de material de segurança",2,33,"830.66","6645.33",8,4,"18121","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Construção","Obras de Infra-estrutura","Construção de rodovias e ferrovias",2,34,"606.74","25483.27",42,21,"42111","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2003,"Indústrias de Transformação","Produtos de minerais não-metálicos","Fabricação de outros produtos de minerais não-metálicos",2,29,"545.82","20741.46",38,19,"23991","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Produtos de Madeira","Fabricação de artefatos de madeira",2,28,"683.1","3415.53",5,2,"16293","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Alojamento e Alimentação","Alojamento","Hotéis e similares",3,34,"297.72","2679.54",9,3,"55108","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
2003,"Comércio","Comércio Atacadista","Atacado de madeira e produtos derivados",2,25,"756.5","7565.02",10,5,"46711","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Transporte e correio","Atividades Auxiliares dos Transportes","Atividades de agenciamento marítimo",1,33,"787.19","11807.98",15,15,"52320","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2003,"Comércio","Comércio Varejista","Minimercados, mercearias e armazéns",13,30,"511.13","17378.49",34,2,"47121","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Construção","Serviços Especializados para Construção","Instalações hidráulicas e de sistemas de refrigeração",1,34,444,3108,7,7,"43223","#E87600","/static/img/icons/industry_section/industry_section_f.png"
