"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2003,"Comércio","Comércio Varejista","Varejista de produtos de padaria, laticínio e doces",136,28,"454.83","357042.34",785,5,"47211","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Outros Serviços","Organizações Associativas","Associações de defesa de direitos sociais",336,33,"810.34","3665205.39",4523,13,"94308","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Saúde e serviços sociais","Saúde Humana Integradas com Assistência Social","Assistência psicossocial e à saúde",13,35,"1502.55","542420.71",361,27,"87204","#800000","/static/img/icons/industry_section/industry_section_q.png"
2003,"Alojamento e Alimentação","Alimentação","Restaurantes",954,29,"398.25","2573127.62",6461,6,"56112","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
2003,"Atividades Administrativas","Agências de viagens","Agências de viagens",94,31,"649.95","316529.06",487,5,"79112","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Comércio","Comércio Varejista","Varejo de peças e acessórios para aparelhos eletroeletrônicos",609,29,"627.31","1353740.32",2158,3,"47571","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Construção","Obras de Infra-estrutura","Construção de redes de água e esgoto",41,33,"718.67","337059.72",469,11,"42227","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2003,"Saúde e serviços sociais","Saúde Humana","Serviços de remoção de pacientes",75,34,"1161.81","874847.88",753,10,"86224","#800000","/static/img/icons/industry_section/industry_section_q.png"
2003,"Indústrias de Transformação","Confecção e Vestuário","Confecção de peças do vestuário",65,35,519,"140650.6",271,4,"14126","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Serviços Especializados","Arquitetura e Engenharia","Serviços de arquitetura",84,32,"1349.97","1223081.12",906,10,"71111","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2003,"Transporte e correio","Transporte Terrestre","Transporte rodoviário coletivo de passageiros intermunicipal",27,36,"1025.78","1409431.38",1374,50,"49221","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2003,"Informação e Comunicação","Telecomunicações","Telecomunicações por fio",26,33,"2123.14","3186844.7",1501,57,"61108","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2003,"Administração Pública","Administração Pública","Administração pública em geral",60,42,"1660.43","85866216.71",51713,861,"84116","#752277","/static/img/icons/industry_section/industry_section_o.png"
2003,"Indústrias de Transformação","Produtos eletrônicos","Fabricação de componentes eletrônicos",4,30,"875.86","32406.97",37,9,"26108","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Outros Serviços","Organizações Associativas","Associações profissionais",40,33,"1112.3","334803.26",301,7,"94120","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Atividades Administrativas","Serviços de Escritório","Outras atividades de serviços prestados às empresas",93,29,"631.39","763354.06",1209,13,"82997","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de sorvetes",4,33,"431.24","4312.4",10,2,"10538","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Outros Serviços","Reparação e Manutenção de Equipamentos","Manutenção de equipamentos de comunicação",37,29,"504.38","69100.34",137,3,"95126","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Educação","Educação","Ensino fundamental",49,36,"1149.4","1817208.19",1581,32,"85139","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2003,"Educação","Educação","Educação superior - graduação",7,38,"969.59","155135.61",160,22,"85317","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2003,"Construção","Construção de Edifícios","Construção de edifícios",162,35,"879.38","1912660.18",2175,13,"41204","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2003,"Comércio","Comércio Varejista","Varejo de mercadorias em geral",33,27,"715.74","194683.12",272,8,"47130","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Atividades Administrativas","Aluguéis não-imobiliários","Locação de automóveis",32,31,"857.89","152705.37",178,5,"77110","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Atividades Financeiras","Seguros e Previdência Complementar","Previdência complementar aberta",6,32,"1565.49","73578.04",47,7,"65421","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2003,"Educação","Educação","Ensino de arte e cultura",70,34,"1615.5","1705978.14",1056,15,"85929","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2003,"Indústrias de Transformação","Produtos de metal","Fabricação de outros produtos de metal",9,28,"533.98","29903.01",56,6,"25993","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Móveis","Fabricação de móveis de madeira",34,31,"507.18","80134.69",158,4,"31012","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Confecção e Vestuário","Confecção de roupas íntimas",11,34,"515.03","18541.17",36,3,"14118","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Atacadista","Atacato de artigos de escritório e de papelaria",15,32,617,"34552.48",56,3,"46478","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
