"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2003,"Comércio","Comércio de Veículos Automotores","Comércio de peças e acessórios para automóveis",30,31,"553.54","40962.36",74,2,"45307","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Educação","Educação","Educação infantil - creche",4,30,"312.18","12799.75",41,10,"85112","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2003,"Comércio","Comércio Varejista","Varejo de artigos do vestuário",70,29,"511.79","91100.02",178,2,"47814","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Hipermercados e supermercados",21,28,"534.69","227244.53",425,20,"47113","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de tintas e materiais para pintura",96,30,"562.08","233828.38",416,4,"47415","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de combustíveis para automóveis",28,30,"580.21","169423.25",292,10,"47318","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de móveis, colchoaria e artigos de iluminação",18,32,"1185.14","101922.66",86,4,"47547","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Atacadista","Atacado de madeira e produtos derivados",7,32,"889.84","57839.96",65,9,"46711","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio de Veículos Automotores","Manutenção de motocicletas",1,26,363,1452,4,4,"45439","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Impressão e Reprodução de Gravações","Impressão de material de segurança",5,31,"595.93","7747.1",13,2,"18121","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio de Veículos Automotores","Manutenção de automóveis",30,33,"650.89","83314.86",128,4,"45200","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Minimercados, mercearias e armazéns",57,28,"520.73","80192.43",154,2,"47121","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de fármacos para uso humano e veterinário",42,30,"734.03","70467.83",96,2,"47717","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Outros Serviços","Organizações Associativas","Organizações sindicais",2,34,"284.52","853.56",3,1,"94201","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Saúde e serviços sociais","Saúde Humana","Atenção ambulatorial",8,30,"474.82","13295.1",28,3,"86305","#800000","/static/img/icons/industry_section/industry_section_q.png"
2003,"Saúde e serviços sociais","Saúde Humana","Serviços diagnóstico e terapia",3,31,"510.74","3064.48",6,2,"86402","#800000","/static/img/icons/industry_section/industry_section_q.png"
2003,"Indústrias de Transformação","Produtos Químicos","Fabricação de explosivos",4,34,"574.52","17235.62",30,7,"20924","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Atacadista","Atacado de fármacos para uso humano e veterinário",1,57,"1294.2","2588.4",2,2,"46443","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Atividades Administrativas","Vigilância e Segurança","Atividades de vigilância e segurança privada",1,34,"535.92","159704.3",298,298,"80111","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Comércio","Comércio Varejista","Varejo de eletrodomésticos e equipamentos de áudio e vídeo",8,31,"1015.86","46729.72",46,5,"47539","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de massas alimentícias",4,28,"402.31","19713.63",49,12,"10945","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Construção","Serviços Especializados para Construção","Obras de terraplenagem",6,35,"557.32","15047.75",27,4,"43134","#E87600","/static/img/icons/industry_section/industry_section_f.png"
