"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2003,"Comércio","Comércio Varejista","Varejo de peças e acessórios para aparelhos eletroeletrônicos",223,30,"600.74",486006,809,3,"47571","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Construção","Construção de Edifícios","Construção de edifícios",96,35,"630.36","830191.66",1317,13,"41204","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2003,"Transporte e correio","Transporte Terrestre","Transporte rodoviário coletivo de passageiros intermunicipal",7,36,"826.91","184401.29",223,31,"49221","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2003,"Alojamento e Alimentação","Alimentação","Restaurantes",205,29,"403.58","553318.7",1371,6,"56112","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
2003,"Outros Serviços","Organizações Associativas","Associações de defesa de direitos sociais",67,37,"659.27","381717.51",579,8,"94308","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Indústrias de Transformação","Produtos de minerais não-metálicos","Aparelhamento e outros trabalhos em pedras",13,32,"567.27","35170.74",62,4,"23915","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Produtos de minerais não-metálicos","Fabricação de artefatos de concreto e materiais semelhantes",28,35,"641.96","214416.89",334,11,"23303","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Educação","Educação","Ensino fundamental",27,34,"645.07","396723.61",615,22,"85139","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2003,"Saúde e serviços sociais","Saúde Humana","Atendimento hospitalar",3,35,667,"78706.12",118,39,"86101","#800000","/static/img/icons/industry_section/industry_section_q.png"
2003,"Saúde e serviços sociais","Saúde Humana Integradas com Assistência Social","Assistência psicossocial e à saúde",1,34,"430.71","6460.68",15,15,"87204","#800000","/static/img/icons/industry_section/industry_section_q.png"
2003,"Indústrias de Transformação","Produtos de Madeira","Fabricação de estruturas de madeira",19,32,"545.06","57776.73",106,5,"16226","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Produtos de borracha e de material plástico","Reforma de pneumáticos usados",3,37,"708.35","43918.23",62,20,"22129","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Atividades Administrativas","Aluguéis não-imobiliários","Aluguel de máquinas e equipamentos para construção",8,39,"602.55","22294.56",37,4,"77322","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Indústrias de Transformação","Confecção e Vestuário","Confecção de peças do vestuário",42,34,"589.51","191002.67",324,7,"14126","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Produtos eletrônicos","Fabricação de aparelhos eletromédicos e eletroterapêuticos",5,31,"593.74","10687.44",18,3,"26604","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Transporte e correio","Transporte Terrestre","Transporte rodoviário de carga",103,33,"576.22","612522.63",1063,10,"49302","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2003,"Indústrias de Transformação","Máquinas e Equipamentos","Fabricação de máquinas para saneamento",1,32,"792.89","7928.92",10,10,"28259","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Atacadista","Atacado de produtos alimentícios",37,30,"739.03","498106.34",674,18,"46371","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Produtos Químicos","Fabricação de cosméticos, perfumaria e higiene pessoal",5,28,"586.52","85046.02",145,29,"20631","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Outros Serviços","Reparação e Manutenção de Equipamentos","Manutenção de objetos e equipamentos domésticos",19,32,"778.13","45909.79",59,3,"95291","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Indústrias de Transformação","Móveis","Fabricação de móveis de madeira",55,30,"528.87","342181.7",647,11,"31012","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Atacadista","Atacado de carnes e pescado",5,34,"1445.67","125774.13",87,17,"46346","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Atacadista","Atacato de artigos de escritório e de papelaria",10,31,"917.02","51353.67",56,5,"46478","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Produtos de borracha e de material plástico","Fabricação de tubos e acessórios de material plástico",12,29,"622.89","116481.4",187,15,"22234","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Atividades Administrativas","Serviços para Edifícios","Condomínios prediais",208,39,"631.82","348132.9",551,2,"81125","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2003,"Indústrias de Transformação","Produtos Têxteis","Acabamentos em fios, tecidos e artefatos têxteis",9,35,"677.59","297463.57",439,48,"13405","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Confecção e Vestuário","Confecção de roupas íntimas",19,35,"464.06","99310.64",214,11,"14118","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Construção","Obras de Infra-estrutura","Construção de redes de água e esgoto",37,36,"633.7","579842.13",915,24,"42227","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2003,"Educação","Educação","Educação infantil - pré-escola",21,30,"391.14","52804.37",135,6,"85121","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2003,"Construção","Obras de Infra-estrutura","Construção de obras-de-arte",1,37,"558.03","53012.87",95,95,"42120","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2003,"Comércio","Comércio Varejista","Varejo de livros, jornais, revistas e papelaria",34,28,"563.04","53488.88",95,2,"47610","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Outros Serviços","Organizações Associativas","Organizações religiosas",19,39,"685.4","105552.35",154,8,"94910","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Atividades Financeiras","Serviços Financeiros","Bancos múltiplos, com carteira comercial",13,37,"2834.32","1079879.6",381,29,"64221","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2003,"Indústrias de Transformação","Produtos de metal","Fabricação de outros produtos de metal",12,29,"542.19","53134.99",98,8,"25993","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de sorvetes",2,25,"453.11","5437.33",12,6,"10538","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Produtos de metal","Fabricação de estruturas metálicas",10,32,"941.2","95061.84",101,10,"25110","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de laticínios",1,33,"2594.78","7784.35",3,3,"10520","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Atacadista","Atacado de cereais e leguminosas beneficiados",6,32,"549.27","30210.07",55,9,"46320","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de carnes e pescados",52,32,"587.26","106882.74",182,3,"47229","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Transporte e correio","Transporte Aéreo","Transporte aéreo de passageiros regular",1,33,"936.06","14977.02",16,16,"51111","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2003,"Informação e Comunicação","Prestação de Serviços de Informação","Outras atividades de prestação de serviços de informação",115,32,"420.91","1011454.18",2403,20,"63992","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2003,"Comércio","Comércio Varejista","Varejista de produtos de padaria, laticínio e doces",65,30,"453.27","145499.87",321,4,"47211","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de mercadorias em geral",9,26,"509.13","7637.07",15,1,"47130","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Indústrias de Transformação","Produtos de minerais não-metálicos","Fabricação de artigos de vidro",1,29,"874.14","8741.46",10,10,"23192","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2003,"Comércio","Comércio Atacadista","Representantes comerciais de outros produtos",4,33,"803.06","8833.67",11,2,"46184","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Alojamento e Alimentação","Alojamento","Outros tipos de alojamento",6,32,"451.88","29372.83",65,10,"55906","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
