"year","country","continent","value","kg","color","icon","ID WLD","exports_per_weight","imports_per_weight"
2004,"Uruguai","Ámérica do Sul",14351,14351,"#199C51","/static/img/icons/continent/continent_sa.png","845",1,
2005,"Uruguai","Ámérica do Sul",833291,867555,"#199C51","/static/img/icons/continent/continent_sa.png","845","0.9605050976595144",
2005,"Chile","Ámérica do Sul",68147,70996,"#199C51","/static/img/icons/continent/continent_sa.png","158","0.9598709786466844",
2005,"Seicheles","África",7310,6313,"#FEC932","/static/img/icons/continent/continent_af.png","731","1.157928084904166",
2006,"Chile","Ámérica do Sul",38698,22766,"#199C51","/static/img/icons/continent/continent_sa.png","158","1.6998155143635245",
2006,"Namíbia","África",16242,16860,"#FEC932","/static/img/icons/continent/continent_af.png","507","0.9633451957295374",
2007,"Canadá","América do Norte",50974,5459,"#080C79","/static/img/icons/continent/continent_na.png","149","9.337607620443304",
2007,"Itália","Europa",119578,14529,"#823783","/static/img/icons/continent/continent_eu.png","386","8.230298024640375",
2007,"Cuba","América do Norte",21358,18122,"#080C79","/static/img/icons/continent/continent_na.png","199","1.1785674870323364",
2007,"México","América do Norte",19208,1508,"#080C79","/static/img/icons/continent/continent_na.png","493","12.73740053050398",
2007,"Líbia","África",78951,64638,"#FEC932","/static/img/icons/continent/continent_af.png","438","1.2214332126612828",
2007,"Paraguai","Ámérica do Sul",52638,42910,"#199C51","/static/img/icons/continent/continent_sa.png","586","1.2267070612910744",
2008,"México","América do Norte",37962,2680,"#080C79","/static/img/icons/continent/continent_na.png","493","14.164925373134329",
2008,"Argentina","Ámérica do Sul",104500,14280,"#199C51","/static/img/icons/continent/continent_sa.png","063","7.317927170868347",
2008,"Chile","Ámérica do Sul",423941,431637,"#199C51","/static/img/icons/continent/continent_sa.png","158","0.9821702032031545",
2008,"Paraguai","Ámérica do Sul",210127,136271,"#199C51","/static/img/icons/continent/continent_sa.png","586","1.5419788509660897",
2008,"Uruguai","Ámérica do Sul",948803,571095,"#199C51","/static/img/icons/continent/continent_sa.png","845","1.6613750777016083",
2008,"Peru","Ámérica do Sul",6231,360,"#199C51","/static/img/icons/continent/continent_sa.png","589","17.308333333333334",
2009,"Chile","Ámérica do Sul",271330,341223,"#199C51","/static/img/icons/continent/continent_sa.png","158","0.7951691415877593",
2009,"Paraguai","Ámérica do Sul",420635,237616,"#199C51","/static/img/icons/continent/continent_sa.png","586","1.7702301191838934",
2009,"Finlândia","Europa",10284,524,"#823783","/static/img/icons/continent/continent_eu.png","271","19.625954198473284",
2009,"Seicheles","África",8635,4055,"#FEC932","/static/img/icons/continent/continent_af.png","731","2.129469790382244",
2009,"Colômbia","Ámérica do Sul",5886,260,"#199C51","/static/img/icons/continent/continent_sa.png","169","22.638461538461538",
2010,"México","América do Norte",59753,3271,"#080C79","/static/img/icons/continent/continent_na.png","493","18.267502292876795",
2010,"Chile","Ámérica do Sul",56998,4181,"#199C51","/static/img/icons/continent/continent_sa.png","158","13.632623774216695",
2010,"Hong Kong","Ásia",1380,55,"#CC2A21","/static/img/icons/continent/continent_as.png","351","25.09090909090909",
2010,"Turquia","Ásia",4450,375,"#CC2A21","/static/img/icons/continent/continent_as.png","827","11.866666666666667",
